ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
36c51654-ee36-444c-83fb-da13c3eadcda,Thinker_10_2,thinker10_2@example.com,DOTA 2,4,DEFENDER,62,THINKER
c1c3e1e9-3553-40ac-8416-ff406fabe1b3,Leader_5,leader5@example.com,DOTA 2,7,ATTACKER,93,LEADER
b6bed31a-01c3-40ed-bfa0-360c37ee64a2,Member_3_3,member3_3@example.com,Badminton,4,SUPPORTER,75,BALANCED
b33d903c-79cd-421f-821d-513aed79ec25,Member_15_4,member15_4@example.com,Valorant,5,ATTACKER,88,BALANCED
1d93e0e2-d8d3-47dc-a3b5-9628b4de27a5,Member_3_4,member3_4@example.com,Chess,6,SUPPORTER,77,BALANCED
579b9052-c3b7-4461-a36d-57393499c577,Leader_19,leader19@example.com,DOTA 2,6,DEFENDER,90,LEADER
4e56f5fa-ff9f-41ac-aacb-81351b3bff87,Thinker_9_1,thinker9_1@example.com,Basketball,5,DEFENDER,58,THINKER
6f773e1e-cec2-4d35-8421-a9ee50653d39,Thinker_6_1,thinker6_1@example.com,Badminton,5,DEFENDER,65,THINKER
d66f2955-4fb2-474f-a782-96502f2e2153,Leader_7,leader7@example.com,Badminton,8,ATTACKER,100,LEADER
720a4fd8-dab5-4361-aaa0-25dd82e3ed74,Member_18_4,member18_4@example.com,FIFA,2,DEFENDER,85,BALANCED
5ced7b65-9635-43aa-9f1a-e6343937e6f6,Member_7_5,member7_5@example.com,Valorant,6,ATTACKER,70,BALANCED
eca00256-ff79-45d8-b4ca-4a64c6cdc032,Member_19_4,member19_4@example.com,Basketball,2,STRATEGIST,80,BALANCED
02d8fc74-8d80-4ff2-ac1e-d08740b8793a,Member_12_5,member12_5@example.com,CS:GO,7,DEFENDER,79,BALANCED
e822e157-5340-4f30-bb4c-9e9a26dd5622,Thinker_18_1,thinker18_1@example.com,DOTA 2,6,ATTACKER,65,THINKER
88bab159-2575-4fa3-9266-23cdf0f081cc,Thinker_12_1,thinker12_1@example.com,Valorant,6,ATTACKER,52,THINKER
eca02e0e-68bf-4ccb-b115-496902e224b2,Leader_6,leader6@example.com,Valorant,7,STRATEGIST,100,LEADER
cb755657-af04-4de3-9c0e-39ceb1f0f0bc,Thinker_14_2,thinker14_2@example.com,FIFA,6,SUPPORTER,64,THINKER
0483f24b-4fbf-4910-80c5-be5056c42519,Leader_20,leader20@example.com,Valorant,8,ATTACKER,100,LEADER
cce4f97b-5caf-4a2d-a413-99813769a315,Member_12_3,member12_3@example.com,FIFA,5,STRATEGIST,77,BALANCED
79c37eb3-f49c-457f-a9e4-e4e0a467f70a,Thinker_3_1,thinker3_1@example.com,CS:GO,4,ATTACKER,69,THINKER
5e244362-5787-43a0-9d9d-023f72629e59,Member_3_5,member3_5@example.com,FIFA,2,SUPPORTER,71,BALANCED
1c7c2ddc-40a9-4c0b-aea8-3de8ca89f9d6,Leader_12,leader12@example.com,DOTA 2,8,SUPPORTER,91,LEADER
e7726eb9-eac0-4d70-99e4-303e2e052ec3,Member_1_4,member1_4@example.com,Valorant,3,ATTACKER,83,BALANCED
93b99353-b05a-426f-ab0f-d24b54c83b2d,Thinker_15_1,thinker15_1@example.com,FIFA,6,SUPPORTER,60,THINKER
47a00feb-717d-47c4-9aac-ed1b80330c07,Leader_9,leader9@example.com,FIFA,8,SUPPORTER,96,LEADER
